Départ,Arrivée,CO2,Temps,prix 
BORDEAUX,LILLE,238,1h25,60
BORDEAUX,LYON,167,1h10,50
BORDEAUX,MARSEILLE,245,1h15,50
BORDEAUX,NANTES,188,0h55,120
BORDEAUX,NICE,193,1h20,48
BORDEAUX,PARIS,148,1h15,54
BORDEAUX,STRASBOURG,312,1h30,50
BREST,LYON,243,1h50,54
BREST,MARSEILLE,205,1h50,77
BREST,PARIS,176,1h20,62
BREST,TOULON,212,2h,89
CLERMONT-FERRAND,LYON,119,0h40,110
CLERMONT-FERRAND,PARIS,188,1h,60
LILLE,LYON,255,1h15,63
LILLE,MARSEILLE,222,1h35,64
LILLE,NANTES,253,1h25,61
LILLE,NICE,191,1h40,49
LILLE,STRASBOURG,245,1h05,65
LILLE,TOULOUSE,233,1h30,60
LIMOGES,LYON,193,1h05,131
LYON,MARSEILLE,138,1h,75
LYON,NANTES,174,1h20,50
LYON,NICE,119,0h55,54
LYON,PARIS,143,1h10,57
LYON,RENNES,260,1h20,79
LYON,STRASBOURG,174,1h,65
LYON,TOULOUSE,169,1h05,47
MARSEILLE,NANTES,198,1h25,41
MARSEILLE,PARIS,162,1h20,46
MARSEILLE,RENNES,224,1h30,46
MARSEILLE,STRASBOURG,305,1h15,45
MARSEILLE,TOULOUSE,122,1h05,61
MONTPELLIER,NANTES,250,1h15,43
MONTPELLIER,PARIS,167,1h20,47
MONTPELLIER,STRASBOURG,372,1h20,41
NANTES,NICE,191,1h35,50
NANTES,PARIS,126,1h,49
NANTES,STRASBOURG,321,1h25,78
NANTES,TOULOUSE,167,1h05,46
NICE,PARIS,169,1h30,53
NICE,RENNES,317,1h45,102
NICE,STRASBOURG,191,1h15,49
NICE,TOULOUSE,138,1h15,66
PARIS,RENNES,215,1h05,58
PARIS,TOULOUSE,157,1h15,44
PARIS,TOULON,198,1h25,51
RENNES,TOULOUSE,281,1h30,82
STRASBOURG,TOULOUSE,233,1h25,43
